id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
216,Combination Sum III,0,Medium,18,737,39
324,Wiggle Sort II,0,Medium,1,732,407
611,Valid Triangle Number,0,Medium,8,722,81
767,Reorganize String,0,Medium,19,720,37
12,Integer to Roman,0,Medium,0,718,2167
366,Find Leaves of Binary Tree,1,Medium,71,715,10
424,Longest Repeating Character Replacement,0,Medium,13,708,54
464,Can I Win,0,Medium,5,707,127
413,Arithmetic Slices,0,Medium,5,688,135
983,Minimum Cost For Tickets,0,Medium,42,687,16
740,Delete and Earn,0,Medium,11,681,58
343,Integer Break,0,Medium,3,679,188
856,Score of Parentheses,0,Medium,26,678,26
151,Reverse Words in a String,0,Medium,0,678,2452
907,Sum of Subarray Minimums,0,Medium,14,674,47
325,Maximum Size Subarray Sum Equals k,1,Medium,25,674,26
814,Binary Tree Pruning,0,Medium,29,673,23
314,Binary Tree Vertical Order Traversal,1,Medium,5,672,132
474,Ones and Zeroes,0,Medium,4,658,156
670,Maximum Swap,0,Medium,13,657,48
150,Evaluate Reverse Polish Notation,0,Medium,1,652,388
376,Wiggle Subsequence,0,Medium,12,651,52
712,Minimum ASCII Delete Sum for Two Strings,0,Medium,16,645,39
565,Array Nesting,0,Medium,7,645,83
368,Largest Divisible Subset,0,Medium,19,644,33
513,Find Bottom Left Tree Value,0,Medium,5,643,110
659,Split Array into Consecutive Subsequences,0,Medium,2,638,253
646,Maximum Length of Pair Chain,0,Medium,11,637,56
813,Largest Sum of Averages,0,Medium,26,632,24
807,Max Increase to Keep City Skyline,0,Medium,3,627,167
554,Brick Wall,0,Medium,19,627,32
318,Maximum Product of Word Lengths,0,Medium,12,617,50
435,Non-overlapping Intervals,0,Medium,23,611,26
59,Spiral Matrix II,0,Medium,6,607,90
477,Total Hamming Distance,0,Medium,14,605,42
375,Guess Number Higher or Lower II,0,Medium,0,602,859
801,Minimum Swaps To Make Sequences Increasing,0,Medium,16,595,36
947,Most Stones Removed with Same Row or Column,0,Medium,3,593,179
355,Design Twitter,0,Medium,3,592,149
841,Keys and Rooms,0,Medium,12,591,49
452,Minimum Number of Arrows to Burst Balloons,0,Medium,21,591,27
331,Verify Preorder Serialization of a Binary Tree,0,Medium,17,580,34
304,Range Sum Query 2D - Immutable,0,Medium,4,574,143
515,Find Largest Value in Each Tree Row,0,Medium,11,573,48
792,Number of Matching Subsequences,0,Medium,13,572,44
178,Rank Scores,0,Medium,6,563,89
